,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id
29,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,017,99017,Doddridge (County),18010,,2023-05-22T03:41:22.800Z,25b8e9e4d4c6d951ab4ed091cbd470e709fa4816,53324308-fea1-4e43-97cf-b28e77a1cd66
30,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,029,99029,Hancock (County),18010,,2023-05-22T03:41:22.800Z,7463123fee7217e7d1f831cdc1625d0944faeb3c,ccc1887f-63b0-4e90-a044-c11f1c02c24e
31,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,033,99033,Harrison (County),18010,,2023-05-22T03:41:22.800Z,543a089b140aa2e01fb9f80aaa38700b8a2bf063,ec7e9af5-8245-4e1c-8221-2dbc00e42ea1
32,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,043,99043,Lincoln (County),18010,,2023-05-22T03:41:22.800Z,611a05326f367138f7a7c32e7b5a857d63618edd,d2f8f2bf-0cc4-44d5-8279-96aea1e18984
33,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,045,99045,Logan (County),18010,,2023-05-22T03:41:22.800Z,b38a647ee7285533a32c3fc9c07a30d1c69f497c,45ec64f2-aa64-4788-a547-2115e4907226
34,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,051,99051,Marshall (County),18010,,2023-05-22T03:41:22.800Z,6a9715cdde258582647a4250505c0ed3f8d70a3d,97c1f22d-a32a-4f37-9ae6-3f779186e997
35,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,053,99053,Mason (County),18010,,2023-05-22T03:41:22.800Z,c312ba3924aa932724ce69cbd8ba60fa4900a75d,b50d8338-eae7-4100-8792-bde9d67914e1
36,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,061,99061,Monongalia (County),18010,,2023-05-22T03:41:22.800Z,e8665eea884236f5e8f1e4a952b60c275bd412ca,1fbb2dd0-9856-449d-a34e-5acc43f24d01
37,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,069,99069,Ohio (County),18010,,2023-05-22T03:41:22.800Z,9b533fcc55c97870b576e89bc0a2ca3c48a0f7f9,827502d8-44a8-47ca-a310-959faea7163d
38,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,073,99073,Pleasants (County),18010,,2023-05-22T03:41:22.800Z,01c8638eb38642f8222c8b713d646adb6d7cb18f,ee0886e7-d371-40d5-bfab-9be9ddfe413b
39,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,077,99077,Preston (County),18010,,2023-05-22T03:41:22.800Z,10feac29bd88c50b7f5cff6d31b15f10fa08b809,38d5bd6c-dc4d-4963-a8ca-e2a1ad10a9b3
40,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,085,99085,Ritchie (County),18010,,2023-05-22T03:41:22.800Z,afdeefad6f59f47d05c28f6173ee097dabca5151,0513bfce-655a-4f8f-9b49-0e9d1601c210
41,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,091,99091,Taylor (County),18010,,2023-05-22T03:41:22.800Z,7bb4a2ea582b12555ec0277aac0d016037a6c0d4,88e810b1-31d1-4319-a179-f3d76eb996eb
42,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,095,99095,Tyler (County),18010,,2023-05-22T03:41:22.800Z,0fe7533a89db22260f0e6248ff0a2812aaa85d8e,ba5b0984-7e48-4cd3-952b-57ff6d3d2870
43,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,099,99099,Wayne (County),18010,,2023-05-22T03:41:22.800Z,f69cc4982abc5e25f914948a2dd59755b5a408ba,821696ca-6324-4826-81e2-b694e9c67a28
44,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,103,99103,Wetzel (County),18010,,2023-05-22T03:41:22.800Z,4b3c157aba4596efc56474a466cd188727b61b65,ffd8afdc-e47b-4fa3-902a-4955e5321490
45,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,105,99105,Wirt (County),18010,,2023-05-22T03:41:22.800Z,e7245e84ed56473ffb04be67f8971352ba626dd5,fa9c11f1-c9ab-483a-be47-79286fbeef65
46,DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,False,54,107,99107,Wood (County),18010,,2023-05-22T03:41:22.800Z,9f1359ff6adb10a71bc4750826064608551460f0,4b3dde7c-ffbf-4881-953c-18f14e899592
47,DR-4331-WV,4331,WV,DR,2017-08-18T00:00:00.000Z,2017,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2017-07-28T00:00:00.000Z,2017-07-29T00:00:00.000Z,,False,54,017,99017,Doddridge (County),17078,2017-10-17T00:00:00.000Z,2023-05-22T03:41:22.800Z,673b69cf6ce75a92338e3ed1df84e0c959e4fc4b,541130d8-94eb-4f30-872a-29905b0e607a
48,DR-4331-WV,4331,WV,DR,2017-08-18T00:00:00.000Z,2017,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2017-07-28T00:00:00.000Z,2017-07-29T00:00:00.000Z,,False,54,061,99061,Monongalia (County),17078,2017-10-17T00:00:00.000Z,2023-05-22T03:41:22.800Z,2e22d422143c5a23ea392309201770598f855bb9,3b6a6379-928f-4d3c-8543-33ba2e5191cc
49,DR-4331-WV,4331,WV,DR,2017-08-18T00:00:00.000Z,2017,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2017-07-28T00:00:00.000Z,2017-07-29T00:00:00.000Z,,False,54,069,99069,Ohio (County),17078,2017-10-17T00:00:00.000Z,2023-05-22T03:41:22.800Z,7467a023c1f1a1c88024cdf815676df105ea8616,ab9562c2-2c53-425a-9358-3e346bc644ab
50,DR-4331-WV,4331,WV,DR,2017-08-18T00:00:00.000Z,2017,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2017-07-28T00:00:00.000Z,2017-07-29T00:00:00.000Z,,False,54,077,99077,Preston (County),17078,2017-10-17T00:00:00.000Z,2023-05-22T03:41:22.800Z,c35b0ea646caca6a617c4cb97cea242535d38c53,0dd76cac-30c0-4798-94d1-c5df19c50f08
51,DR-4331-WV,4331,WV,DR,2017-08-18T00:00:00.000Z,2017,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2017-07-28T00:00:00.000Z,2017-07-29T00:00:00.000Z,,False,54,083,99083,Randolph (County),17078,2017-10-17T00:00:00.000Z,2023-05-22T03:41:22.800Z,d28460f57c1b75f6bd59c6af3ed9050232770f66,eb88614c-ae39-4285-8aad-8cc17d41f998
